id,dupe_flag
100047572,TRUE
100047574,TRUE
100047576,TRUE
100047578,TRUE
100047580,TRUE
100047582,TRUE
100047584,TRUE
100047586,TRUE
100047588,TRUE
100047590,TRUE
100047592,TRUE
100047598,TRUE
100047606,TRUE
100047610,TRUE
100047614,TRUE
100047616,TRUE
100047618,TRUE
100047624,TRUE
100047626,TRUE
100047754,TRUE
100047756,TRUE
100047758,TRUE
100047760,TRUE
100047762,TRUE
100047764,TRUE
100047766,TRUE
100047770,TRUE
100047772,TRUE
100047774,TRUE
100047776,TRUE
100047778,TRUE
100047780,TRUE
100047782,TRUE
100047784,TRUE
100047786,TRUE
100047788,TRUE
100047790,TRUE
100047792,TRUE
100047794,TRUE
100047796,TRUE
100047798,TRUE
100047800,TRUE
100047802,TRUE
100047804,TRUE
100047806,TRUE
100047808,TRUE
100047810,TRUE
100047812,TRUE
100047816,TRUE
100047818,TRUE
100047820,TRUE
100047824,TRUE
100047826,TRUE
100047828,TRUE
100047830,TRUE
100047832,TRUE
100047834,TRUE
100048309,TRUE
100048333,TRUE
100048868,TRUE
100048880,TRUE
100048890,TRUE
100048894,TRUE
100048914,TRUE
100048916,TRUE
100048918,TRUE
100048922,TRUE
100048926,TRUE
100048934,TRUE
100048938,TRUE
100048942,TRUE
100048944,TRUE
100048946,TRUE
100048950,TRUE
100048954,TRUE
100048960,TRUE
100048962,TRUE
100048964,TRUE
100048968,TRUE
100048972,TRUE
100048980,TRUE
100048982,TRUE
100048984,TRUE
100048986,TRUE
100048992,TRUE
100049281,TRUE
100049454,TRUE
100049541,TRUE
100049766,TRUE
100049772,TRUE
100049878,TRUE
100049975,TRUE
100050048,TRUE
100050067,TRUE
100050093,TRUE
100050105,TRUE
100050126,TRUE
100050130,TRUE
100050134,TRUE
100050154,TRUE
100050164,TRUE
100050172,TRUE
100050184,TRUE
100050190,TRUE
100050206,TRUE
100050218,TRUE
100050220,TRUE
100050222,TRUE
100050224,TRUE
100050226,TRUE
100050228,TRUE
100050230,TRUE
100050238,TRUE
100050240,TRUE
100050244,TRUE
100050256,TRUE
100050260,TRUE
100050264,TRUE
100050266,TRUE
100050272,TRUE
100050274,TRUE
100050280,TRUE
100050860,TRUE
100050872,TRUE
100051324,TRUE
100051328,TRUE
100051488,TRUE
100051490,TRUE
100051494,TRUE
100052561,TRUE
100052593,TRUE
100052595,TRUE
100052749,TRUE
100052941,TRUE
100052963,TRUE
100053615,TRUE
100053617,TRUE
100053728,TRUE
100054138,TRUE
100056098,TRUE
100056250,TRUE
100056336,TRUE
100056378,TRUE
100056792,TRUE
100056820,TRUE
100057571,TRUE
100057572,TRUE
100057573,TRUE
100057574,TRUE
100057575,TRUE
100057583,TRUE
100057612,TRUE
100057636,TRUE
100057656,TRUE
100057666,TRUE
100057682,TRUE
100057694,TRUE
100057732,TRUE
100057756,TRUE
100057836,TRUE
100057840,TRUE
100058456,TRUE
100058478,TRUE
100058929,TRUE
100058931,TRUE
100059909,TRUE
100059913,TRUE
100060120,TRUE
100060241,TRUE
100060243,TRUE
100060254,TRUE
100060314,TRUE
100060360,TRUE
100060428,TRUE
100060506,TRUE
100060686,TRUE
100060692,TRUE
100060751,TRUE
100060760,TRUE
100060786,TRUE
100060960,TRUE
100060966,TRUE
100061002,TRUE
100061018,TRUE
100061294,TRUE
100061344,TRUE
100061720,TRUE
100061738,TRUE
100062000,TRUE
100062042,TRUE
100062050,TRUE
100062104,TRUE
100062108,TRUE
100062186,TRUE
100062188,TRUE
100062208,TRUE
100062242,TRUE
100062264,TRUE
100062280,TRUE
100062284,TRUE
100062354,TRUE
100062356,TRUE
100062377,TRUE
100062387,TRUE
100062414,TRUE
100062514,TRUE
100062516,TRUE
100062560,TRUE
100062804,TRUE
100062808,TRUE
100062943,TRUE
100062959,TRUE
100062961,TRUE
100063057,TRUE
100063104,TRUE
100063107,TRUE
100063108,TRUE
100063109,TRUE
100063151,TRUE
100063307,TRUE
100063341,TRUE
100063494,TRUE
100063528,TRUE
100063572,TRUE
100063576,TRUE
100063668,TRUE
100063670,TRUE
100064447,TRUE
100064448,TRUE
100064461,TRUE
100064472,TRUE
100064473,TRUE
100064880,TRUE
100064908,TRUE
100064930,TRUE
100065162,TRUE
100065170,TRUE
100065282,TRUE
100065283,TRUE
100065284,TRUE
100065285,TRUE
100065289,TRUE
100065410,TRUE
100065432,TRUE
100065528,TRUE
100065534,TRUE
100066724,TRUE
100066726,TRUE
100066730,TRUE
100066732,TRUE
100068960,TRUE
100068962,TRUE
100069250,TRUE
100069251,TRUE
100069278,TRUE
100069279,TRUE
100069476,TRUE
100069477,TRUE
100069996,TRUE
100069998,TRUE
100070000,TRUE
100070004,TRUE
100070006,TRUE
100070008,TRUE
100070010,TRUE
100070012,TRUE
100070014,TRUE
100070016,TRUE
100070018,TRUE
100070118,TRUE
100071249,TRUE
100071261,TRUE
100073493,TRUE
100073495,TRUE
100073616,TRUE
100073618,TRUE
100073628,TRUE
100073754,TRUE
100073880,TRUE
100073882,TRUE
100073884,TRUE
100074019,TRUE
100074023,TRUE
100074154,TRUE
100074156,TRUE
100074240,TRUE
100074242,TRUE
100074293,TRUE
100074295,TRUE
100074354,TRUE
100074356,TRUE
100074358,TRUE
100074378,TRUE
100074380,TRUE
100074385,TRUE
100074390,TRUE
100074392,TRUE
100074395,TRUE
100074398,TRUE
100074400,TRUE
100074402,TRUE
100074403,TRUE
100074427,TRUE
100074769,TRUE
100074773,TRUE
100075154,TRUE
100075156,TRUE
100075197,TRUE
100075203,TRUE
100075306,TRUE
100075308,TRUE
100075950,TRUE
100076274,TRUE
100076364,TRUE
100076476,TRUE
100076628,TRUE
100076907,TRUE
100076923,TRUE
100076970,TRUE
100077034,TRUE
100077036,TRUE
100077056,TRUE
100077158,TRUE
100077166,TRUE
100077589,TRUE
100077591,TRUE
100077704,TRUE
100077798,TRUE
100077974,TRUE
100077976,TRUE
100078087,TRUE
100078088,TRUE
100078235,TRUE
100078237,TRUE
100078324,TRUE
100078456,TRUE
100078457,TRUE
100078487,TRUE
100078488,TRUE
100078489,TRUE
100078505,TRUE
100078506,TRUE
100078562,TRUE
100078659,TRUE
100079024,TRUE
100079026,TRUE
100079365,TRUE
100079369,TRUE
100079385,TRUE
100079455,TRUE
100079457,TRUE
100079463,TRUE
100079465,TRUE
100079467,TRUE
100079469,TRUE
100079541,TRUE
100079555,TRUE
100079567,TRUE
100079763,TRUE
100079765,TRUE
100079767,TRUE
100079769,TRUE
100079973,TRUE
100080083,TRUE
100080091,TRUE
100080201,TRUE
100080215,TRUE
100080219,TRUE
100080221,TRUE
100080285,TRUE
100080313,TRUE
100080555,TRUE
100080557,TRUE
100080559,TRUE
100080563,TRUE
100080565,TRUE
100080567,TRUE
100080569,TRUE
100080573,TRUE
100080639,TRUE
100080641,TRUE
100080645,TRUE
100080649,TRUE
100081009,TRUE
100081013,TRUE
100081017,TRUE
100081468,TRUE
100081470,TRUE
100082128,TRUE
100082130,TRUE
100082625,TRUE
100082632,TRUE
100082676,TRUE
100082678,TRUE
100083050,TRUE
100083052,TRUE
100083420,TRUE
100083512,TRUE
100083522,TRUE
100083676,TRUE
100083986,TRUE
100083998,TRUE
100084446,TRUE
100084447,TRUE
100084580,TRUE
100084581,TRUE
100084614,TRUE
100084628,TRUE
100084629,TRUE
100084630,TRUE
100084631,TRUE
100084659,TRUE
100084662,TRUE
100084682,TRUE
100084688,TRUE
100084730,TRUE
100084731,TRUE
100084748,TRUE
100084749,TRUE
100084750,TRUE
100084751,TRUE
100084786,TRUE
100084787,TRUE
100084796,TRUE
100084797,TRUE
100084827,TRUE
100084832,TRUE
100084834,TRUE
100084835,TRUE
100084905,TRUE
100084906,TRUE
100084909,TRUE
100084910,TRUE
100085077,TRUE
100085078,TRUE
100085099,TRUE
100085100,TRUE
100085184,TRUE
100085185,TRUE
100085246,TRUE
100085247,TRUE
100085248,TRUE
100085249,TRUE
